pop,author,species,class,lat,lon,geo_meth,num_individuals,gene_diversity,allelic_richness,global_fst,urban,popden,hfi,num_loci,Ne,Ne_lower,Ne_upper
Sacks_fox_UnknownBay,Sacks,Vulpes_vulpes,mammal,37.445,-122.027,averagedindividualcoords,9,0.633428,3.844871,0.060962,1,1409.856639,73.96954315,13,19.1,6.2,NA
Sacks_fox_WB,Sacks,Vulpes_vulpes,mammal,37.478518,-122.150849,averagedindividualcoords,17,0.529641,2.969367,0.244746,1,2710.629883,77.60260586,13,25.6,10,NA
Sacks_SanLuisObispoArea,Sacks,Cervus_elaphus_nannodes,mammal,35.28276,-120.65961,googlemaps,21,0.388831,2.025597,0.078874,1,51.94666608,55.68888889,20,40,12.4,NA
Sacks_SanLuisReservoir,Sacks,Cervus_elaphus_nannodes,mammal,37.06211,-121.11341,googlemaps,33,0.385686,2.02533,0.09517,0,2.069999933,14.75381264,20,NA,123.4,NA
Sawaya_Grizzly_N,Sawaya,Ursus_arctos,mammal,51.347321,-115.6582,ARCgeoref_averagedindividualcoords,65,0.665414,3.883035,0.003003,0,1.039999962,7.755102041,20,17.9,15.6,20.6
Sawaya_Grizzly_S,Sawaya,Ursus_arctos,mammal,50.994254,-115.644937,ARCgeoref_averagedindividualcoords,48,0.627062,3.749436,0.05788,0,1.039999962,4.75,20,26.6,21.7,33
Sawaya_N_BB,Sawaya,Ursus_americanus,mammal,51.304637,-115.769547,ARCgeoref_averagedindividualcoords,52,0.771611,4.783794,0.005351,0,1.039999962,8.741880342,20,26.9,22.7,32.2
Sawaya_S_BB,Sawaya,Ursus_americanus,mammal,51.101468,-115.600093,ARCgeoref_averagedindividualcoords,49,0.775109,4.834221,0.000233,1,11.24400024,14.69097222,20,28,23.7,33.4
SB127,Epps,Ovis_canadensis,mammal,34.638471,-115.748673,PolygonCentroidCoordinates,59,0.58291,3.159926,0.156986,0,1.039999962,11.23318386,16,24.3,18.9,31.7
Serrouya_Barkerville,Serrouya,Rangifer_tarandus,mammal,52.775788,-121.499213,ARCgeoref_averagedindividualcoords,13,0.725016,4.31477,0.11648,0,1.039999962,8.019900498,18,8.9,6.2,12.9
Serrouya_CaribouMtsAlberta,Serrouya,Rangifer_tarandus,mammal,59.101044,-115.528104,ARCgeoref_averagedindividualcoords,30,0.775278,5.162538,0.07617,0,1.039999962,0,18,13992.7,136.9,NA
Serrouya_CLAWR,Serrouya,Rangifer_tarandus,mammal,54.591116,-110.56968,ARCgeoref_averagedindividualcoords,30,0.799136,5.148991,0.047741,0,1.039999962,18.90952381,18,171.8,76.8,NA
Serrouya_ColumbiaNorth,Serrouya,Rangifer_tarandus,mammal,51.702782,-118.383231,ARCgeoref_averagedindividualcoords,37,0.770879,4.806517,0.084348,0,1.039999962,3.310996564,18,50.3,35.9,77.8
Serrouya_ColumbiaSouth,Serrouya,Rangifer_tarandus,mammal,51.016035,-117.969669,ARCgeoref_averagedindividualcoords,30,0.751605,4.581944,0.104379,0,1.039999962,11.49482759,18,20.5,16.4,26.1
Serrouya_DolphinUnion,Serrouya,Rangifer_tarandus,mammal,69.978574,-110.654577,ARCgeoref,43,0.817965,5.462177,0.030273,0,1.039999962,0,18,667.4,158.1,NA
Serrouya_FRISBYQUEEST,Serrouya,Rangifer_tarandus,mammal,50.998069,-118.694592,ARCgeoref_averagedindividualcoords,6,0.665123,4.111111,0.14979,0,2.069999933,18.50515464,18,6.3,2.5,21.8
Serrouya_FtNelson,Serrouya,Rangifer_tarandus,mammal,58.873014,-121.387503,ARCgeoref_averagedindividualcoords,15,0.786914,5.236169,0.046138,0,1.039999962,6.025641026,18,NA,66.6,NA
Serrouya_Graham,Serrouya,Rangifer_tarandus,mammal,56.43978,-122.842782,ARCgeoref_averagedindividualcoords,22,0.796143,5.214711,0.045424,0,1.039999962,0,18,88.3,42.3,1866.7
Serrouya_Groundhog,Serrouya,Rangifer_tarandus,mammal,52.02429,-119.360514,ARCgeoref_averagedindividualcoords,6,0.658179,4.220539,0.158667,0,1.039999962,17.75,18,7,2.5,33.3
Serrouya_Hart,Serrouya,Rangifer_tarandus,mammal,54.099461,-121.088027,ARCgeoref_averagedindividualcoords,19,0.784241,5.114447,0.056228,0,1.039999962,0.787096774,18,70.5,34.7,681.4
